anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2024,61,2024-01-05,45000
2024,193,2024-01-10,909.1
2024,1006,2024-02-28,200000
2024,1007,2024-02-28,50000
2024,2305,2024-05-21,50000
2024,2237,2024-05-15,143661.36
2024,2239,2024-05-15,800000
2024,2236,2024-05-15,282222.24
2024,3201,2024-07-15,33522.68
2024,3200,2024-07-15,78750
