anoEmpenho,numeroEmpenho,dataEmpenho,valorEmpenho
2025,3315,2025-05-08,137.9
2025,5170,2025-07-30,192260.5
2025,6360,2025-09-22,15471.4
2025,7379,2025-11-11,39625
2025,7454,2025-11-14,12325.9
